pH,Temperature,Taste,Odor,Fat_Content,Titratable_Acidity,Protein_Content,Lactose_Content,TPC,SCC,Color,Label
6.85,7.4,1,1,3.17,0.179,3.13,4.65,905100,398300,1,Medium
6.73,6.7,0,1,3.16,0.182,2.91,4.32,1380300,402200,1,Medium
6.78,7.8,0,1,3.11,0.161,2.97,4.52,681000,347700,1,Medium
6.71,4.9,1,1,4.12,0.141,3.06,4.78,131000,249700,1,High
6.53,14.9,0,0,2.87,0.208,2.6,4.26,7289200,632300,1,Low
6.8,7.4,0,1,3.26,0.182,2.85,4.48,472000,334900,1,Medium
6.25,16.4,0,0,2.4,0.27,2.64,3.94,5270200,936500,0,Low
7.17,20.4,0,0,2.48,0.322,2.44,3.62,7955500,747000,0,Low
6.73,3.2,1,1,4.37,0.131,3.24,5.11,118900,67300,1,High
6.76,4.2,1,1,4.57,0.131,3.45,4.99,175300,206600,1,High
6.73,2.8,1,1,4.16,0.137,3.31,4.81,146900,69100,1,High
6.89,17.0,0,0,2.43,0.256,2.43,4.16,7071500,1187900,0,Low
6.43,24.4,0,1,2.21,0.236,2.36,3.66,6600600,527200,1,Low
6.78,8.9,0,1,3.21,0.185,3.08,4.54,1386200,295300,1,Medium
6.83,9.7,1,0,3.13,0.168,2.98,4.65,1435500,312300,1,Medium
6.56,7.7,1,1,3.17,0.173,2.87,4.46,1104300,439600,1,Medium
6.77,4.9,1,1,3.59,0.138,3.4,4.85,244400,63900,1,High
6.54,19.9,0,1,2.25,0.309,2.59,3.75,6034700,628900,1,Low
6.76,6.9,1,1,3.39,0.19,2.9,4.59,902300,421400,1,Medium
7.12,13.4,0,0,3.13,0.304,2.9,3.79,7577700,604500,1,Low
6.69,9.8,1,1,3.39,0.176,3.04,4.59,584500,331000,0,Medium
6.68,9.8,1,0,3.09,0.166,3.13,4.4,1464700,427400,1,Medium
6.56,7.8,1,1,3.31,0.177,2.97,4.6,1926900,315700,1,Medium
6.28,24.0,0,0,2.02,0.329,2.44,3.59,2425300,1104400,0,Low
6.68,8.8,1,1,3.25,0.171,2.91,4.58,1933800,255600,1,Medium
6.73,5.9,1,1,4.39,0.153,3.49,5.05,87800,89500,1,High
6.76,9.0,1,1,3.38,0.182,3.0,4.53,1076400,315700,0,Medium
6.8,5.9,1,1,3.57,0.159,3.45,4.56,207100,165700,1,High
6.82,9.6,1,1,3.33,0.19,2.96,4.53,1567900,374100,0,Medium
6.61,8.0,1,0,3.06,0.182,2.86,4.39,1636600,314600,1,Medium
6.69,5.3,1,1,4.74,0.122,3.34,4.63,265800,75900,1,High
6.95,22.3,0,0,2.34,0.292,2.37,3.57,3830800,761600,1,Low
6.68,2.9,1,1,4.44,0.132,3.48,4.68,287200,82800,1,High
6.83,6.6,1,1,3.16,0.175,2.97,4.5,1350900,303700,1,Medium
6.67,6.6,1,0,3.38,0.168,2.91,4.31,1317600,348200,1,Medium
6.67,4.0,1,1,3.62,0.168,3.09,5.19,109500,166600,1,High
7.17,17.0,0,0,2.76,0.259,2.91,4.22,5289100,1004400,0,Low
6.72,3.5,1,1,3.91,0.135,3.34,5.16,222500,166500,1,High
6.76,8.1,1,1,3.34,0.17,2.96,4.44,1007200,432900,1,Medium
